,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,"datetime(2017, 6, 23, 21, 7, 44)","datetime(2017, 6, 23, 21, 21, 19)","datetime(2017, 6, 23, 21, 24, 36)","datetime(2017, 6, 24, 17, 35)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,"datetime(2017, 7, 3, 21, 8, 57)","datetime(2017, 7, 28, 4, 40, 43)","datetime(2017, 8, 8, 14, 9, 27)","datetime(2017, 8, 12, 17, 56, 2)","datetime(2017, 8, 13, 6, 52, 20)","datetime(2017, 8, 13, 7, 16, 28)","datetime(2017, 8, 13, 7, 20, 44)","datetime(2017, 8, 13, 9, 43, 23)","datetime(2017, 8, 13, 17, 38, 49)","datetime(2017, 8, 13, 19, 35, 40)","datetime(2017, 8, 18, 22, 25, 28)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,"datetime(2017, 8, 12, 14, 4, 50)","datetime(2017, 8, 12, 16, 24, 4)","datetime(2017, 8, 13, 13, 8, 20)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,"datetime(2017, 7, 4, 5, 59, 22)","datetime(2017, 7, 4, 9, 52, 5)","datetime(2017, 7, 5, 4, 12, 17)","datetime(2017, 7, 5, 14, 1, 52)","datetime(2017, 7, 5, 16, 9, 57)","datetime(2017, 7, 5, 18, 43, 23)","datetime(2017, 7, 5, 19, 34, 24)","datetime(2017, 7, 5, 19, 39, 7)","datetime(2017, 7, 5, 20, 9, 48)","datetime(2017, 7, 6, 0, 7, 58)","datetime(2017, 7, 6, 2, 21, 7)","datetime(2017, 7, 6, 14, 27, 38)","datetime(2017, 7, 6, 16, 28, 19)","datetime(2017, 7, 6, 19, 30, 13)","datetime(2017, 7, 7, 13, 47, 50)","datetime(2017, 7, 7, 17, 14, 28)","datetime(2017, 7, 8, 4, 0)","datetime(2017, 7, 10, 1, 59, 52)","datetime(2017, 7, 10, 6, 48, 9)","datetime(2017, 7, 20, 19, 5, 35)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,"datetime(2017, 8, 12, 9, 28, 38)","datetime(2017, 8, 12, 9, 31, 3)","datetime(2017, 8, 12, 9, 45, 44)","datetime(2017, 8, 12, 10, 23, 32)","datetime(2017, 8, 12, 10, 31, 3)","datetime(2017, 8, 12, 12, 42, 15)","datetime(2017, 8, 12, 14, 5, 22)","datetime(2017, 8, 12, 14, 37, 16)","datetime(2017, 8, 12, 14, 40, 13)","datetime(2017, 8, 12, 15, 19, 31)","datetime(2017, 8, 12, 15, 54, 10)","datetime(2017, 8, 12, 17, 0, 3)","datetime(2017, 8, 12, 17, 11, 57)","datetime(2017, 8, 12, 17, 22, 39)","datetime(2017, 8, 12, 18, 47, 41)","datetime(2017, 8, 12, 20, 30, 2)","datetime(2017, 8, 12, 20, 34, 2)","datetime(2017, 8, 12, 21, 15, 31)","datetime(2017, 8, 12, 21, 34, 2)","datetime(2017, 8, 12, 22, 4, 57)","datetime(2017, 8, 12, 22, 8, 56)","datetime(2017, 8, 12, 22, 27, 20)","datetime(2017, 8, 12, 22, 33, 52)","datetime(2017, 8, 12, 22, 52, 21)","datetime(2017, 8, 12, 23, 25, 56)","datetime(2017, 8, 12, 23, 28, 11)","datetime(2017, 8, 12, 23, 38, 16)","datetime(2017, 8, 13, 0, 36, 51)","datetime(2017, 8, 13, 2, 47, 51)","datetime(2017, 8, 13, 3, 46, 11)","datetime(2017, 8, 13, 6, 0, 15)","datetime(2017, 8, 13, 7, 0, 32)","datetime(2017, 8, 13, 13, 31, 28)","datetime(2017, 8, 13, 18, 0, 51)","datetime(2017, 8, 13, 19, 52, 30)","datetime(2017, 8, 14, 12, 39, 16)","datetime(2017, 8, 18, 13, 31, 19)"
5,"datetime(2017, 9, 6, 18, 15, 49)","datetime(2017, 9, 6, 19, 25, 39)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,"datetime(2017, 6, 21, 22, 20, 1)","datetime(2017, 6, 23, 6, 24, 48)","datetime(2017, 6, 23, 6, 43, 57)","datetime(2017, 6, 24, 1, 34, 42)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,"datetime(2017, 5, 27, 21, 29, 58)","datetime(2017, 6, 7, 10, 32, 13)","datetime(2017, 8, 18, 9, 21, 11)","datetime(2017, 8, 19, 13, 23, 5)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,"datetime(2017, 6, 18, 23, 11, 42)","datetime(2017, 6, 27, 2, 35, 17)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,"datetime(2017, 6, 14, 17, 42, 48)","datetime(2017, 7, 14, 13, 3, 5)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,"datetime(2017, 8, 16, 20, 40, 34)","datetime(2017, 8, 17, 21, 52, 29)","datetime(2017, 8, 19, 0, 16, 57)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,"datetime(2017, 6, 29, 21, 6, 16)","datetime(2017, 7, 2, 16, 6, 43)","datetime(2017, 7, 3, 16, 16, 28)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,"datetime(2017, 6, 18, 13, 55, 26)","datetime(2017, 6, 27, 18, 40, 31)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,"datetime(2017, 6, 21, 16, 53, 31)","datetime(2017, 6, 24, 17, 9, 15)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,"datetime(2017, 6, 20, 14, 20, 48)","datetime(2017, 6, 24, 3, 35, 30)","datetime(2017, 6, 24, 19, 54, 24)","datetime(2017, 8, 13, 21, 42, 53)","datetime(2017, 9, 5, 17, 45, 18)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,"datetime(2017, 6, 23, 22, 36, 53)","datetime(2017, 6, 23, 22, 48, 14)","datetime(2017, 6, 24, 2, 46, 16)","datetime(2017, 6, 24, 3, 24, 46)","datetime(2017, 6, 24, 4, 44, 2)","datetime(2017, 6, 24, 6, 38, 30)","datetime(2017, 6, 24, 7, 17, 33)","datetime(2017, 6, 24, 13, 40, 10)","datetime(2017, 6, 24, 16, 8, 2)","datetime(2017, 6, 24, 18, 46, 49)","datetime(2017, 6, 26, 17, 29, 34)","datetime(2017, 6, 29, 3, 50, 12)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16,"datetime(2017, 5, 27, 16, 0, 38)","datetime(2017, 5, 28, 9, 2, 37)","datetime(2017, 5, 28, 13, 55, 30)","datetime(2017, 6, 2, 20, 30, 59)","datetime(2017, 6, 24, 23, 41, 31)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,"datetime(2017, 6, 21, 21, 36, 47)","datetime(2017, 7, 6, 17, 29, 51)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
18,"datetime(2017, 5, 27, 15, 8, 34)","datetime(2017, 5, 27, 15, 30, 4)","datetime(2017, 5, 27, 16, 7, 13)","datetime(2017, 5, 27, 17, 14, 12)","datetime(2017, 5, 27, 23, 25, 27)","datetime(2017, 5, 28, 1, 54, 11)","datetime(2017, 5, 28, 4, 32, 23)","datetime(2017, 5, 29, 19, 16, 53)","datetime(2017, 5, 30, 15, 51, 52)","datetime(2017, 6, 2, 7, 30, 35)","datetime(2017, 6, 2, 11, 39, 13)","datetime(2017, 6, 3, 16, 53, 18)","datetime(2017, 6, 25, 8, 2, 14)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
19,"datetime(2017, 7, 31, 13, 11, 33)","datetime(2017, 7, 31, 14, 56, 52)","datetime(2017, 7, 31, 17, 21, 20)","datetime(2017, 7, 31, 18, 12, 55)","datetime(2017, 7, 31, 19, 40, 11)","datetime(2017, 8, 1, 10, 39, 51)","datetime(2017, 8, 1, 16, 10, 29)","datetime(2017, 8, 1, 16, 44, 52)","datetime(2017, 8, 1, 21, 47, 44)","datetime(2017, 8, 2, 16, 41, 16)","datetime(2017, 8, 3, 4, 0, 57)","datetime(2017, 8, 3, 20, 28, 43)","datetime(2017, 8, 14, 7, 21, 26)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
20,"datetime(2017, 8, 12, 13, 45, 38)","datetime(2017, 8, 12, 13, 54, 51)","datetime(2017, 8, 12, 14, 10, 35)","datetime(2017, 8, 12, 15, 48, 47)","datetime(2017, 8, 12, 15, 50, 47)","datetime(2017, 8, 12, 21, 13, 3)","datetime(2017, 8, 13, 3, 58, 27)","datetime(2017, 8, 13, 11, 59, 18)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
21,"datetime(2017, 7, 29, 4, 36, 50)","datetime(2017, 7, 29, 4, 46, 5)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
22,"datetime(2017, 6, 23, 4, 6, 37)","datetime(2017, 6, 23, 6, 3, 18)","datetime(2017, 6, 23, 6, 6, 26)","datetime(2017, 6, 23, 15, 30, 38)","datetime(2017, 6, 24, 17, 28, 18)","datetime(2017, 6, 24, 17, 38, 42)","datetime(2017, 6, 24, 18, 32, 19)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
23,"datetime(2017, 5, 29, 17, 44, 29)","datetime(2017, 6, 27, 21, 55, 26)","datetime(2017, 7, 1, 19, 22, 2)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
24,"datetime(2017, 6, 26, 21, 57, 52)","datetime(2017, 6, 27, 8, 17, 23)","datetime(2017, 6, 27, 18, 39, 38)","datetime(2017, 7, 5, 9, 30, 58)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
25,"datetime(2017, 8, 14, 18, 0, 4)","datetime(2017, 8, 15, 18, 12, 47)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
26,"datetime(2017, 6, 23, 0, 14, 8)","datetime(2017, 6, 24, 6, 26, 17)","datetime(2017, 6, 24, 6, 41, 22)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
27,"datetime(2017, 7, 11, 0, 19)","datetime(2017, 7, 11, 16, 16, 3)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
28,"datetime(2017, 8, 14, 15, 58, 18)","datetime(2017, 8, 14, 16, 7, 43)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29,"datetime(2017, 5, 27, 17, 37, 33)","datetime(2017, 6, 1, 11, 39, 31)","datetime(2017, 6, 22, 6, 49, 38)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
30,"datetime(2017, 6, 7, 17, 47, 51)","datetime(2017, 6, 7, 18, 19, 49)","datetime(2017, 6, 7, 21, 13, 36)","datetime(2017, 6, 8, 1, 4, 26)","datetime(2017, 6, 8, 3, 35, 11)","datetime(2017, 6, 8, 5, 53, 34)","datetime(2017, 6, 8, 8, 54, 4)","datetime(2017, 6, 8, 10, 7, 58)","datetime(2017, 6, 8, 13, 30, 55)","datetime(2017, 6, 9, 10, 30, 35)","datetime(2017, 6, 9, 11, 23, 27)","datetime(2017, 6, 10, 7, 26, 1)","datetime(2017, 6, 12, 5, 30, 8)","datetime(2017, 6, 17, 12, 16, 53)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
31,"datetime(2017, 6, 8, 14, 36, 56)","datetime(2017, 6, 13, 20, 47, 39)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
32,"datetime(2017, 7, 2, 17, 12, 59)","datetime(2017, 7, 27, 4, 38, 16)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
33,"datetime(2017, 7, 14, 9, 57, 1)","datetime(2017, 7, 14, 11, 10, 27)","datetime(2017, 7, 14, 20, 37, 36)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
34,"datetime(2017, 8, 13, 19, 9, 25)","datetime(2017, 8, 13, 19, 37, 18)","datetime(2017, 8, 13, 21, 58, 24)","datetime(2017, 8, 14, 2, 31, 13)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
35,"datetime(2017, 8, 12, 9, 30, 33)","datetime(2017, 8, 12, 10, 10)","datetime(2017, 8, 12, 11, 47, 56)","datetime(2017, 8, 13, 1, 34, 13)","datetime(2017, 8, 13, 16, 30, 32)","datetime(2017, 8, 14, 7, 18)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
36,"datetime(2017, 7, 14, 10, 54, 41)","datetime(2017, 7, 14, 11, 29, 6)","datetime(2017, 7, 14, 11, 56, 50)","datetime(2017, 7, 15, 4, 26, 20)","datetime(2017, 7, 15, 10, 28, 6)","datetime(2017, 7, 17, 5, 26, 5)","datetime(2017, 7, 17, 15, 42, 12)","datetime(2017, 7, 17, 16, 39, 26)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
37,"datetime(2017, 6, 6, 19, 52, 52)","datetime(2017, 8, 14, 16, 40, 55)","datetime(2017, 8, 23, 16, 42, 24)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
38,"datetime(2017, 6, 10, 4, 58, 25)","datetime(2017, 6, 18, 11, 43, 33)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
39,"datetime(2017, 5, 29, 21, 41, 54)","datetime(2017, 5, 30, 4, 17, 8)","datetime(2017, 5, 30, 21, 4, 6)","datetime(2017, 6, 4, 18, 0, 22)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
40,"datetime(2017, 6, 5, 23, 14, 36)","datetime(2017, 6, 5, 23, 45, 35)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
41,"datetime(2017, 6, 14, 22, 44, 55)","datetime(2017, 6, 15, 20, 43)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
42,"datetime(2017, 8, 12, 9, 11, 49)","datetime(2017, 8, 12, 9, 52, 31)","datetime(2017, 8, 12, 10, 41, 24)","datetime(2017, 8, 12, 11, 1, 45)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
43,"datetime(2017, 6, 21, 13, 20, 58)","datetime(2017, 6, 21, 13, 21, 53)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
44,"datetime(2017, 8, 12, 14, 32, 22)","datetime(2017, 8, 12, 14, 44, 14)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
45,"datetime(2017, 6, 6, 16, 59, 5)","datetime(2017, 6, 7, 15, 17, 15)","datetime(2017, 6, 7, 15, 24, 31)","datetime(2017, 6, 7, 15, 28, 40)","datetime(2017, 6, 10, 0, 51, 7)","datetime(2017, 6, 10, 18, 4, 48)","datetime(2017, 6, 11, 2, 45)","datetime(2017, 6, 11, 11, 3, 36)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
46,"datetime(2017, 7, 18, 18, 18, 15)","datetime(2017, 7, 24, 0, 4, 32)","datetime(2017, 7, 25, 12, 8, 41)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
47,"datetime(2017, 7, 6, 6, 16, 22)","datetime(2017, 7, 6, 6, 18, 2)","datetime(2017, 7, 7, 2, 40, 21)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
